Name,City,Cuisine,Rating,Price,Count,Reviews,RestID
PIORNEDO,Barcelona,[],4.0,,9.0,Typical Catalan place on a typical Catalan...,11798
Durum,Barcelona,"('Cafe', 'Fast Food', 'Turkish')",3.5,20.0,2.0,,11799
La Nocciola Toscana,Barcelona,[],3.5,,8.0,Cheesecake is amazing!,11800
Casa Maria,Barcelona,[],4.0,,7.0,,11801
Victor,Barcelona,[],4.0,,54.0,"What a find!!, Small Restaurant- Excellent Spanish Food",11802
Bacus Restaurante,Barcelona,[],3.5,,23.0,"So pleased I came here!, Great food, wine and atmosphere!",11803
Yokomo,Barcelona,"('Japanese', 'Sushi', 'Mediterranean')",3.5,50.0,59.0,"Not open on hours indicated in Tripadvisor, Awesome!",11804
La Coctelera,Barcelona,"('Mediterranean', 'Spanish')",3.5,50.0,35.0,"Slightly weird and edgy., A must-visit if you are in the Clot area o...",11805
Fleca Comtal,Barcelona,[],3.5,,4.0,"Just what we needed, Simple and quick fare",11806
Pans & Company Horta,Barcelona,Mediterranean,3.0,,8.0,,11807
Ministry of Cocktails,Barcelona,[],4.0,,4.0,mediocre bar,11808
Restaurante Chino Enzhou,Barcelona,Chinese,3.5,,3.0,,11809
Casa Messicana,Barcelona,Mexican,3.5,,2.0,,11810
Croqueta y Presumida,Barcelona,[],3.5,,2.0,Croquetaria,11811
El Jardi,Barcelona,Spanish,3.5,,6.0,"Great food and service, Good choice for 2-3 days stay!",11812
TGB - The Good Burger,Barcelona,"('American', 'European')",3.5,20.0,31.0,"Good hamburger and fries, Good Burger Joint",11813
Mcdonald's,Barcelona,[],3.5,,3.0,,11814
BaRRa de Pintxos Via Augusta,Barcelona,"('Mediterranean', 'Spanish')",3.5,50.0,2.0,,11815
Los Mundiales,Barcelona,Pub,3.0,,4.0,,11816
Bar Manel,Barcelona,[],3.5,,2.0,,11817
BCN birres i tapes,Barcelona,"('Bar', 'Mediterranean', 'European', 'Spanish')",3.0,50.0,73.0,"Good sangria average food, Enjoyed the atmosphere!",11818
Namaskar Nepal,Barcelona,[],3.5,,31.0,"great food and great service, ""Theyll Make it Spicy if You Ask""",11819
El Cafe de la Granota,Barcelona,[],3.0,,4.0,,11820
Flex & Bowls,Barcelona,Healthy,3.5,50.0,3.0,Good for healthy vegetarian/vegan/plant ba...,11821
Boheme Cafeteria - Panaderia,Barcelona,Cafe,3.0,,13.0,"NICE CORNER SHOP FOR BREAKFAST, average coffee, nice sweets",11822
Bar Rala,Barcelona,Cafe,3.5,,2.0,,11823
Cafeteria Bracafe,Barcelona,[],3.5,,2.0,Top Draw,11824
Il Gondoliere Di Venezia,Barcelona,Pizza,3.0,,3.0,"Great little find not far from the beach, Definitely one of the worst restaurants an...",11825
Posit de Pescadors,Barcelona,[],3.5,,5.0,great food,11826
Taverna Etxeko,Barcelona,"('Spanish', 'Greek')",4.0,,3.0,,11827
La Carmanyola,Barcelona,"('Seafood', 'Mediterranean', 'Spanish')",3.5,50.0,59.0,"Disappointing and seriously over-priced, Very good place for rice",11828
Carpi Pizza,Barcelona,[],3.5,,2.0,,11829
Lulu,Barcelona,[],3.5,,2.0,"The food is upper medium ranked ( quite go..., Superb north Chinese food",11830
Bar Shang Tung,Barcelona,[],3.5,,3.0,,11831
Bonaire,Barcelona,Mediterranean,3.5,,4.0,,11832
Cafe & Te,Barcelona,Cafe,3.5,50.0,18.0,"Fast service? Good food, Good coffee, Children frendly",11833
La Germania,Barcelona,[],3.5,,7.0,Stag Dinner,11834
Londres 35,Barcelona,Spanish,3.5,50.0,20.0,"Nice local place for daily lunch with good..., Nice food, shockingly bad service",11835
Pizzas Numero 1,Barcelona,[],3.5,,8.0,,11836
78 Lounge Bar by Black Velvet,Barcelona,"('Bar', 'Pub')",4.5,50.0,6.0,"Cool music, nice drinks",11837
Bar Marcelino,Barcelona,[],3.5,,7.0,"Good food for the money!, Cheap snack at Montjuïc",11838
El Salaito,Barcelona,Mediterranean,4.5,50.0,5.0,,11839
Cerveseria Sant Marti,Barcelona,"('Mexican', 'Spanish')",4.0,,12.0,"Awesome nachos!, A very nice place for being welcome!",11840
La Tasketa,Barcelona,[],4.0,,4.0,,11841
Fly Sushi,Barcelona,Sushi,3.0,,4.0,,11842
Burgerklubben Barcelona,Barcelona,[],5.0,,5.0,"Muhammad Ali, What a burger!!!",11843
La Guingueta Bogatell,Barcelona,Spanish,3.0,20.0,10.0,"Beach Bar & Snacks, Great Day On The Beach",11844
Restaurante Aguila,Barcelona,Chinese,3.5,20.0,41.0,"unwanted advertising, Best sushi in BCN",11845
Granvia pizzeria,Barcelona,Pizza,3.5,,3.0,,11846
Cafe & Te,Barcelona,"('Cafe', 'Spanish', 'Italian', 'Mediterranean')",3.0,50.0,85.0,"Could be better, Very friendly staff",11847
Guakamola,Barcelona,Mexican,3.5,,11.0,"Delicious Guakamola, Not good - avoid!",11848
RESTAURANTE AMAYA,Barcelona,"('Mediterranean', 'European', 'Spanish')",3.0,50.0,356.0,"Nice restuarant for city visit, Sangria outstanding, meal not so",11849
Joys Cafe,Barcelona,Cafe,3.5,20.0,9.0,"Simple but good, In and out!",11850
McDonald's,Barcelona,[],3.5,,2.0,Fast food and good service,11851
Restaurante Santa Teresa,Barcelona,"('Mediterranean', 'Spanish')",4.0,50.0,22.0,"Decent food, Maybe the tapas are better",11852
Restaurante Mistral,Barcelona,"('Mediterranean', 'Spanish')",3.5,50.0,7.0,"Traditional local food, friendly staff, Good food, nice staff, god price",11853
Tapa Tape,Barcelona,Spanish,3.5,20.0,20.0,"Surprising good value tapa resturant, Good food on the street",11854
Mercado Provenzal,Barcelona,[],3.0,,20.0,Wow,11855
Enrique Tomas Fabra i Puig,Barcelona,"('Mediterranean', 'Spanish', 'Diner')",3.5,,15.0,,11856
Espai de Gats,Barcelona,Cafe,3.5,20.0,5.0,,11857
Restaurante Parrilla,Barcelona,"('Argentinean', 'South American')",3.5,,11.0,,11858
Restaurante Club F,Barcelona,Mediterranean,3.5,50.0,16.0,Only by invitation,11859
Pizza Virona,Barcelona,Pizza,3.0,,10.0,,11860
Menja Futur,Barcelona,Spanish,3.5,,3.0,,11861
